Followers,Name,Team,Nationality,
"161,587",Ivica Zubac,Los Angeles Clippers,Bosnia and Herzegovina / Croatia,
"161,352",Trey Lyles,Sacramento Kings,Canada / United States,
"159,198",Franz Wagner,Orlando Magic,Germany,
"158,806",Jordan Walsh,Boston Celtics,United States,
"157,716",Kai Jones,Charlotte Hornets,Bahamas,
"156,971",Naz Reid,Minnesota Timberwolves,United States,
"155,189",Jalen Duren,Detroit Pistons,United States,
"154,846",Dalen Terry,Chicago Bulls,United States,
"154,290",Robin Lopez,Milwaukee Bucks,United States,
"153,763","Troy Brown, Jr.",Minnesota Timberwolves,United States,
"152,985",James Harden,Philadelphia Sixers,United States,
"152,530",Ziaire Williams,Memphis Grizzlies,United States,
"150,172",Gary Harris,Orlando Magic,United States,
"148,088",Neemias Queta,Maine Celtics,Portugal,
"147,901",Royce O'Neale,Brooklyn Nets,United States,
"147,180",Anthony Black,Orlando Magic,United States,
"147,047",Mitchell Robinson,New York Knicks,United States,
"146,912",Romeo Langford,Utah Jazz,United States,
"145,914","Bruce Brown, Jr.",Indiana Pacers,United States,
"138,481",Ochai Agbaji,Utah Jazz,United States,
"132,826",Nickeil Alexander-Walker,Minnesota Timberwolves,Canada,
"130,643","A.J. Griffin, Jr.",Atlanta Hawks,United States,
"129,262",Jalen Johnson,Atlanta Hawks,United States,
"125,862",Isaiah Todd,,,
"123,240",Maxi Kleber,Dallas Mavericks,Germany,
"122,814",Luka Garza,Minnesota Timberwolves,United States / Bosnia and Herzegovina,
"122,328",T.J. McConnell,Indiana Pacers,United States,
"122,165",Isaiah Stewart II,Detroit Pistons,United States,
"118,198",Delon Wright,Washington Wizards,United States,
"117,244",Svi Mykhailiuk,Boston Celtics,Ukraine,
"116,474",James Bouknight,Charlotte Hornets,United States,
"114,928",Brandon Clarke,Memphis Grizzlies,Canada,
"114,165",Thomas Bryant,Miami Heat,United States,
"112,964",Isaiah Jackson,Indiana Pacers,United States,
"112,430",Dorian Finney-Smith,Brooklyn Nets,United States,
"111,531",Georges Niang,Cleveland Cavaliers,United States,
"110,712",Torrey Craig,Chicago Bulls,United States,
"109,222",Jevon Carter,Chicago Bulls,United States,
"108,904",Darius Bazley,Brooklyn Nets,United States,
"107,217",Nick Richards,Charlotte Hornets,Jamaica,
"106,772",Landry Shamet,Washington Wizards,United States,
"106,767",Walker Kessler,Utah Jazz,United States,
"106,464",Jalen Wilson,Brooklyn Nets,United States,
"106,045",Dyson Daniels,New Orleans Pelicans,Australia,
"105,646",Cam Whitmore,Houston Rockets,United States,
"105,537",Dario Saric,Golden State Warriors,Croatia,
"105,230",Dwight Powell,Dallas Mavericks,Canada,
"104,937",Miles McBride,New York Knicks,United States,
"103,143",Kawhi Leonard,Los Angeles Clippers,United States,
"102,540",Keyontae Johnson,Oklahoma City Thunder,United States,
"100,774",Bilal Coulibaly,Washington Wizards,France,
"100,657",Johnny Juzang,Salt Lake City Stars,United States,
"98,387",Keegan Murray,Sacramento Kings,United States,
"97,981",Zach Collins,San Antonio Spurs,United States,
"97,972",Marques Bolden,Milwaukee Bucks,United States / Indonesia,
"95,119",Dereck Lively II,Dallas Mavericks,United States,
"94,497",Drew Timme,Milwaukee Bucks,United States,
"94,200",Trayce Jackson-Davis,Golden State Warriors,United States,
"94,193",Dariq Whitehead,Brooklyn Nets,United States,
"94,131","Nick Smith, Jr.",Charlotte Hornets,United States,
"93,773","TyTy Washington, Jr.",Wisconsin Herd,United States,
"92,109",Kris Dunn,Utah Jazz,United States,
"92,040",Jordan Nwora,Indiana Pacers,United States / Nigeria,
"91,861",Oscar Tshiebwe,Indiana Pacers,Democratic Republic of the Congo,
"91,451",Davis Bertans,Oklahoma City Thunder,Latvia,
"89,545",Mark Williams,Charlotte Hornets,United States,
"88,845",Jaden McDaniels,Minnesota Timberwolves,United States,
"88,478",Jason Preston,,,
"87,325",Chris Livingston,Milwaukee Bucks,United States,
"86,913",Danuel House,Philadelphia Sixers,United States,
"85,771",Day'Ron Sharpe,Brooklyn Nets,United States,
"85,083","Wendell Moore, Jr.",Minnesota Timberwolves,United States,
"84,963",Brook Lopez,Milwaukee Bucks,United States,
"84,369",Ty Jerome,Cleveland Cavaliers,United States,
"84,116",Damian Jones,Cleveland Cavaliers,United States,
"83,482",Devin Vassell,San Antonio Spurs,United States,
"82,862",De'Anthony Melton,Philadelphia Sixers,United States,
"82,744",Jarace Walker,Indiana Pacers,United States,
"80,892",Moses Brown,Portland Trail Blazers,United States,
"80,677",Jericho Sims,New York Knicks,United States,
"80,665",Bruno Fernando,Atlanta Hawks,Angola,
"79,901",Herb Jones,New Orleans Pelicans,United States,
"79,670",Aaron Nesmith,Indiana Pacers,United States,
"79,472","Andre Jackson, Jr.",Milwaukee Bucks,United States,
"79,196",Jakob Poeltl,Toronto Raptors,Austria,
"78,471","Paul Reed, Jr.",Philadelphia Sixers,United States,
"77,868",Trendon Watford,Brooklyn Nets,United States,
"76,655",Jordan Hawkins,New Orleans Pelicans,United States,
"75,593",Omer Yurtseven,Utah Jazz,Uzbekistan / Turkey,
"74,405",Johnny Davis,Washington Wizards,United States,
"74,359",Isaiah Hartenstein,New York Knicks,United States / Germany,
"74,298",Corey Kispert,Washington Wizards,United States,
"74,165",Admiral Schofield,Osceola Magic,United States,
"72,084",Ryan Arcidiacono,New York Knicks,United States,
"72,001",Tari Eason,Houston Rockets,United States,
"70,758",Daniel Gafford,Washington Wizards,United States,
"70,345",Oshae Brissett,Boston Celtics,Canada,
"70,015",Peyton Watson,Denver Nuggets,United States,
"69,896",Malaki Branham,San Antonio Spurs,United States,
"68,812",Aaron Holiday,Houston Rockets,United States,
"68,411",David Duke,Philadelphia Sixers,United States,
"67,722",Sandro Mamukelashvili,San Antonio Spurs,Georgia,
"66,746",Shake Milton,Minnesota Timberwolves,United States,
"66,732","Xavier Tillman, Sr.",Memphis Grizzlies,United States,
"66,683",Richaun Holmes,Dallas Mavericks,United States,
"66,600",Andrew Nembhard,Indiana Pacers,Canada,
"66,592",Lindell Wigginton,Milwaukee Bucks,Canada,
"66,325",Saddiq Bey,Atlanta Hawks,United States,
"65,986",Lamar Stevens,Boston Celtics,United States,
"64,285",Collin Gillespie,Grand Rapids Gold,United States,
"63,304",Jared Butler,Capital City Go-Go,United States,
"62,820",Vasilije Micic,Oklahoma City Thunder,Serbia,
"62,425",Malachi Flynn,Toronto Raptors,United States,
"61,929",Jett Howard,Orlando Magic,United States,
"61,854",Cason Wallace,Oklahoma City Thunder,United States,
